ชื่อจังหวัด	งบประมาณ
จังหวัดกระบี่	188,479,500
จังหวัดกาญจนบุรี	251,102,700
จังหวัดกาฬสินธุ์	300,677,800
จังหวัดกำแพงเพชร	223,507,800
จังหวัดขอนแก่น	327,336,200
จังหวัดจันทบุรี	203,800,300
จังหวัดฉะเชิงเทรา	267,718,300
จังหวัดชลบุรี	381,302,100
จังหวัดชัยนาท	213,149,400
จังหวัดชัยภูมิ	250,071,400
จังหวัดชุมพร	199,013,100
จังหวัดเชียงราย	317,242,000
จังหวัดเชียงใหม่	353,106,200
จังหวัดตรัง	218,375,800
จังหวัดตราด	177,696,800
จังหวัดตาก	251,960,400
จังหวัดนครนายก	162,463,300
จังหวัดนครปฐม	231,669,500
จังหวัดนครพนม	224,975,200
จังหวัดนครราชสีมา	413,379,600
จังหวัดนครศรีธรรมราช	298,624,500
จังหวัดนครสวรรค์	268,950,500
จังหวัดนนทบุรี	238,250,700
จังหวัดนราธิวาส	242,708,700
จังหวัดน่าน	230,621,900
จังหวัดบึงกาฬ	173,365,700
จังหวัดบุรีรัมย์	310,861,800
จังหวัดปทุมธานี	247,478,900
จังหวัดประจวบคีรีขันธ์	190,102,800
จังหวัดปราจีนบุรี	226,754,900
จังหวัดปัตตานี	282,754,600
จังหวัดพระนครศรีอยุธยา	243,744,100
จังหวัดพะเยา	227,617,700
จังหวัดพังงา	151,162,100
จังหวัดพัทลุง	220,026,100
จังหวัดพิจิตร	185,402,500
จังหวัดพิษณุโลก	225,505,500
จังหวัดเพชรบุรี	206,411,100
จังหวัดเพชรบูรณ์	232,716,300
จังหวัดแพร่	203,335,900
จังหวัดภูเก็ต	169,365,500
จังหวัดมหาสารคาม	218,248,800
จังหวัดมุกดาหาร	190,851,600
จังหวัดแม่ฮ่องสอน	284,982,600
จังหวัดยโสธร	213,150,400
จังหวัดยะลา	245,309,700
จังหวัดร้อยเอ็ด	275,919,400
จังหวัดระนอง	214,077,800
จังหวัดระยอง	331,129,500
จังหวัดราชบุรี	239,047,200
จังหวัดลพบุรี	218,366,200
จังหวัดลำปาง	239,674,000
จังหวัดลำพูน	187,973,900
จังหวัดเลย	210,373,300
จังหวัดศรีสะเกษ	308,153,300
จังหวัดสกลนคร	259,500,200
จังหวัดสงขลา	294,996,400
จังหวัดสตูล	194,437,600
จังหวัดสมุทรปราการ	330,573,800
จังหวัดสมุทรสงคราม	151,031,100
จังหวัดสมุทรสาคร	249,659,700
จังหวัดสระแก้ว	233,107,300
จังหวัดสระบุรี	207,541,200
จังหวัดสิงห์บุรี	160,417,900
จังหวัดสุโขทัย	227,663,300
จังหวัดสุพรรณบุรี	251,203,300
จังหวัดสุราษฎร์ธานี	247,901,600
จังหวัดสุรินทร์	262,551,200
จังหวัดหนองคาย	189,003,900
จังหวัดหนองบัวลำภู	236,913,700
จังหวัดอ่างทอง	197,618,300
จังหวัดอำนาจเจริญ	190,931,400
จังหวัดอุดรธานี	293,212,300
จังหวัดอุตรดิตถ์	215,966,600
จังหวัดอุทัยธานี	197,166,500
จังหวัดอุบลราชธานี	342,509,700